,Cumulated_MSE_NN,Cumulated_MSE_LSTM
2000-03-01,0.09061193,0.14460737
2000-04-01,0.093145676,0.14667155
2000-05-01,0.22521815,0.3092525
2000-06-01,0.28167233,0.3217202
2000-07-01,0.36928183,0.37275988
2000-08-01,0.38593766,0.48877913
2000-09-01,0.41094038,0.495721
2000-10-01,0.4109622,0.49866393
2000-11-01,0.46862808,0.51163286
2000-12-01,0.5479904,0.7026006
2001-01-01,0.5512135,0.7124532
2001-02-01,0.67469716,0.7233122
2001-03-01,0.6858489,0.72331655
2001-04-01,0.7346044,0.88575923
2001-05-01,0.737883,0.88641953
2001-06-01,0.8505299,1.0000176
2001-07-01,0.87060815,1.0278139
2001-08-01,0.89029574,1.0294214
2001-09-01,1.2378302,1.3366519
2001-10-01,1.6754649,1.4176478
2001-11-01,1.7036005,1.5057681
2001-12-01,1.7066848,1.5294623
2002-01-01,1.7113413,1.5376507
2002-02-01,1.7123,1.5484109
2002-03-01,1.7272213,1.5881124
2002-04-01,1.8057927,1.6367337
2002-05-01,1.8072041,1.640076
2002-06-01,1.8086233,1.6402317
2002-07-01,1.8114034,1.6428455
2002-08-01,1.811674,1.6428468
2002-09-01,1.8122635,1.645607
2002-10-01,1.8136857,1.6484158
2002-11-01,1.8150038,1.6498154
2002-12-01,1.8579183,1.7460184
2003-01-01,1.9760963,1.8510265
2003-02-01,2.0058773,1.860414
2003-03-01,2.4046254,2.1329145
2003-04-01,2.5520465,2.1692731
2003-05-01,2.5574114,2.1824634
2003-06-01,2.5595038,2.1829138
2003-07-01,2.5649884,2.2194507
2003-08-01,2.5814922,2.2306228
2003-09-01,2.6903572,2.3495855
2003-10-01,2.7219095,2.3954673
2003-11-01,2.7256632,2.3967478
2003-12-01,2.7297487,2.425218
2004-01-01,2.8173206,2.4485757
2004-02-01,2.8294294,2.4560971
2004-03-01,2.829433,2.4563963
2004-04-01,2.8520277,2.5102031
2004-05-01,2.8563323,2.5306993
2004-06-01,2.929894,2.5583217
2004-07-01,2.9708762,2.5851047
2004-08-01,2.9749186,2.5920022
2004-09-01,3.091711,2.6882925
2004-10-01,3.099687,2.7221823
2004-11-01,3.3096547,2.7629142
2004-12-01,3.4662173,2.8032684
2005-01-01,3.4690146,2.8362596
2005-02-01,3.4729192,2.8396614
2005-03-01,3.530998,2.8445654
2005-04-01,3.6157894,2.902554
2005-05-01,3.6707926,2.9031718
2005-06-01,3.7091799,2.9791954
2005-07-01,3.7324755,2.9953735
2005-08-01,4.2880726,3.5961185
2005-09-01,4.481548,3.707621
2005-10-01,5.6834254,4.016584
2005-11-01,5.762718,4.0166354
2005-12-01,5.8152757,4.020868
2006-01-01,6.213982,4.3632593
2006-02-01,6.2149568,4.366162
2006-03-01,6.3149014,4.366727
2006-04-01,6.3878517,4.4257746
2006-05-01,6.396155,4.4260354
2006-06-01,6.47992,4.598842
2006-07-01,6.4910164,4.5988717
2006-08-01,6.7877812,4.881867
2006-09-01,6.9152155,5.1046987
2006-10-01,7.0269775,5.2301846
2006-11-01,7.1075616,5.2407103
2006-12-01,7.185441,5.382258
2007-01-01,7.2146397,5.450277
2007-02-01,7.2153025,5.5059247
2007-03-01,7.2170815,5.5564
2007-04-01,7.2524037,5.6221642
2007-05-01,7.2842994,5.668145
2007-06-01,7.3361235,5.67008
2007-07-01,7.3394866,5.6873846
2007-08-01,7.4400415,5.8874273
2007-09-01,7.4414687,5.8884463
2007-10-01,7.859093,6.2027507
2007-11-01,7.8680573,6.2031813
2007-12-01,7.872491,6.229156
2008-01-01,7.8729095,6.231016
2008-02-01,7.8729167,6.231156
2008-03-01,11.892241,6.2366276
2008-04-01,12.068785,6.2922106
2008-05-01,12.136402,6.692079
2008-06-01,12.238156,6.746965
2008-07-01,12.419507,6.9202237
2008-08-01,12.421792,6.925867
2008-09-01,13.677839,8.415813
2008-10-01,16.620129,11.874907
2008-11-01,17.10191,12.910207
2008-12-01,17.1057,12.911651
2009-01-01,17.110054,12.92431
2009-02-01,17.293795,13.028851
2009-03-01,17.3224,13.029238
2009-04-01,17.337883,13.037211
2009-05-01,17.639381,13.388525
